Datetime,MCP
"2023-01-05 09:30:00",12000
"2023-01-05 09:45:00",12000
"2023-01-05 10:00:00",12000
"2023-01-05 10:15:00",12000
"2023-01-05 10:30:00",12000
"2023-01-05 10:45:00",12000
"2023-01-05 11:00:00",9000.55
"2023-01-05 11:15:00",8000.74
"2023-01-05 11:30:00",8863.68
"2023-01-05 11:45:00",8863.78
"2023-01-05 12:00:00",9570.11
"2023-01-05 12:15:00",9570.77
"2023-01-05 12:30:00",8863.56
"2023-01-05 12:45:00",7679.56
"2023-01-05 13:00:00",5000.91
"2023-01-05 13:15:00",5000.66
"2023-01-05 13:30:00",5000.88
"2023-01-05 13:45:00",5000.86
"2023-01-05 14:00:00",5000.69
"2023-01-05 14:15:00",5739.91
"2023-01-05 14:30:00",6149.73
"2023-01-05 14:45:00",6500.45
"2023-01-05 15:00:00",8202.72
"2023-01-05 15:15:00",8200.84
"2023-01-05 15:30:00",8205.24
"2023-01-05 15:45:00",10541.09
"2023-01-05 16:00:00",8000.93
"2023-01-05 16:15:00",9999.61
"2023-01-05 16:30:00",12000
"2023-01-05 16:45:00",12000
"2023-01-05 17:00:00",12000
"2023-01-05 17:15:00",12000
"2023-01-05 17:30:00",12000
"2023-01-05 17:45:00",12000
"2023-01-05 18:00:00",12000
"2023-01-05 18:15:00",12000
"2023-01-05 18:30:00",12000
"2023-01-05 18:45:00",12000
"2023-01-05 19:00:00",12000
"2023-01-05 19:15:00",12000
"2023-01-05 19:30:00",12000
"2023-01-05 19:45:00",12000
"2023-01-05 20:00:00",11999.35
"2023-01-05 20:15:00",9500.24
"2023-01-05 20:30:00",4999.47
"2023-01-05 20:45:00",4490.96
"2023-01-05 21:00:00",4200.43
"2023-01-05 21:15:00",4490.98
"2023-01-05 21:30:00",4500.56
"2023-01-05 21:45:00",3959.91
"2023-01-05 22:00:00",3510.81
"2023-01-05 22:15:00",3570.69
"2023-01-05 22:30:00",3600.98
"2023-01-05 22:45:00",3680.61
"2023-01-05 23:00:00",3624.48
"2023-01-05 23:15:00",3475.43
"2023-01-05 23:30:00",2900.71
"2023-01-05 23:45:00",2650.91
"2023-01-06 00:00:00",2500
"2023-01-06 00:15:00",2402.3
"2023-01-06 00:30:00",2691.32
"2023-01-06 00:45:00",2691.6
"2023-01-06 01:00:00",2649.99
"2023-01-06 01:15:00",2529.88
"2023-01-06 01:30:00",2500.21
"2023-01-06 01:45:00",2187.87
"2023-01-06 02:00:00",2500.53
"2023-01-06 02:15:00",2500.16
"2023-01-06 02:30:00",2187.98
"2023-01-06 02:45:00",2286.25
"2023-01-06 03:00:00",2470.57
"2023-01-06 03:15:00",2500.36
"2023-01-06 03:30:00",2691.23
"2023-01-06 03:45:00",2691.35
"2023-01-06 04:00:00",2800.54
"2023-01-06 04:15:00",3710.15
"2023-01-06 04:30:00",3680.65
"2023-01-06 04:45:00",3659.77
"2023-01-06 05:00:00",3570.49
"2023-01-06 05:15:00",4300.14
"2023-01-06 05:30:00",4774.72
"2023-01-06 05:45:00",4860.11
"2023-01-06 06:00:00",4260.98
"2023-01-06 06:15:00",5000.76
"2023-01-06 06:30:00",5999.04
"2023-01-06 06:45:00",7000.97
"2023-01-06 07:00:00",9000.44
"2023-01-06 07:15:00",12000
"2023-01-06 07:30:00",12000
"2023-01-06 07:45:00",12000
"2023-01-06 08:00:00",12000
"2023-01-06 08:15:00",12000
"2023-01-06 08:30:00",12000
"2023-01-06 08:45:00",12000
"2023-01-06 09:00:00",12000
"2023-01-06 09:15:00",12000
"2023-01-06 09:30:00",12000
"2023-01-06 09:45:00",12000
"2023-01-06 10:00:00",12000
"2023-01-06 10:15:00",12000
"2023-01-06 10:30:00",12000
"2023-01-06 10:45:00",12000
"2023-01-06 11:00:00",12000
"2023-01-06 11:15:00",12000
"2023-01-06 11:30:00",12000
"2023-01-06 11:45:00",12000
"2023-01-06 12:00:00",12000
"2023-01-06 12:15:00",12000
"2023-01-06 12:30:00",12000
"2023-01-06 12:45:00",12000
"2023-01-06 13:00:00",12000
"2023-01-06 13:15:00",12000
"2023-01-06 13:30:00",12000
"2023-01-06 13:45:00",12000
"2023-01-06 14:00:00",12000
"2023-01-06 14:15:00",12000
"2023-01-06 14:30:00",12000
"2023-01-06 14:45:00",12000
"2023-01-06 15:00:00",12000
"2023-01-06 15:15:00",12000
"2023-01-06 15:30:00",12000
"2023-01-06 15:45:00",12000
"2023-01-06 16:00:00",12000
"2023-01-06 16:15:00",12000
"2023-01-06 16:30:00",12000
"2023-01-06 16:45:00",12000
"2023-01-06 17:00:00",12000
"2023-01-06 17:15:00",12000
"2023-01-06 17:30:00",12000
"2023-01-06 17:45:00",12000
"2023-01-06 18:00:00",12000
"2023-01-06 18:15:00",12000
"2023-01-06 18:30:00",12000
"2023-01-06 18:45:00",12000
"2023-01-06 19:00:00",12000
"2023-01-06 19:15:00",12000
"2023-01-06 19:30:00",12000
"2023-01-06 19:45:00",12000
"2023-01-06 20:00:00",12000
"2023-01-06 20:15:00",12000
"2023-01-06 20:30:00",12000
"2023-01-06 20:45:00",12000
"2023-01-06 21:00:00",5000.53
"2023-01-06 21:15:00",5000.54
"2023-01-06 21:30:00",4300.17
"2023-01-06 21:45:00",3999.75
"2023-01-06 22:00:00",4100.02
"2023-01-06 22:15:00",5499.34
"2023-01-06 22:30:00",4537.31
"2023-01-06 22:45:00",3757.16
"2023-01-06 23:00:00",3736.68
"2023-01-06 23:15:00",3736.97
"2023-01-06 23:30:00",3680.22
"2023-01-06 23:45:00",3680
"2023-01-07 00:00:00",3499.31
"2023-01-07 00:15:00",3053.33
"2023-01-07 00:30:00",2891.94
"2023-01-07 00:45:00",2891.84
"2023-01-07 01:00:00",2891.07
"2023-01-07 01:15:00",2720.04
"2023-01-07 01:30:00",2768.85
"2023-01-07 01:45:00",2850.06
"2023-01-07 02:00:00",2850.9
"2023-01-07 02:15:00",2850.55
"2023-01-07 02:30:00",2768.71
"2023-01-07 02:45:00",2768.94
"2023-01-07 03:00:00",2768.37
"2023-01-07 03:15:00",2768.5
"2023-01-07 03:30:00",3000.34
"2023-01-07 03:45:00",3000.71
"2023-01-07 04:00:00",3499.15
"2023-01-07 04:15:00",4000.18
"2023-01-07 04:30:00",3237.82
"2023-01-07 04:45:00",3040.96
"2023-01-07 05:00:00",3570.88
"2023-01-07 05:15:00",4260.7
"2023-01-07 05:30:00",3900.69
"2023-01-07 05:45:00",3989.26
"2023-01-07 06:00:00",4945.63
"2023-01-07 06:15:00",6000.79
"2023-01-07 06:30:00",8000.18
"2023-01-07 06:45:00",8999.04
"2023-01-07 07:00:00",7999.38
"2023-01-07 07:15:00",9000.13
"2023-01-07 07:30:00",12000
"2023-01-07 07:45:00",12000
"2023-01-07 08:00:00",12000
"2023-01-07 08:15:00",12000
"2023-01-07 08:30:00",12000
"2023-01-07 08:45:00",12000
"2023-01-07 09:00:00",12000
"2023-01-07 09:15:00",12000
"2023-01-07 09:30:00",12000
"2023-01-07 09:45:00",12000
"2023-01-07 10:00:00",12000
"2023-01-07 10:15:00",12000
"2023-01-07 10:30:00",12000
"2023-01-07 10:45:00",12000
"2023-01-07 11:00:00",12000
"2023-01-07 11:15:00",12000
"2023-01-07 11:30:00",12000
"2023-01-07 11:45:00",12000
"2023-01-07 12:00:00",12000
"2023-01-07 12:15:00",12000
"2023-01-07 12:30:00",10000.53
"2023-01-07 12:45:00",10000.34
"2023-01-07 13:00:00",5540.68
"2023-01-07 13:15:00",5165.87
"2023-01-07 13:30:00",5222.9
"2023-01-07 13:45:00",5222.05
"2023-01-07 14:00:00",5571.63
"2023-01-07 14:15:00",6500.59
"2023-01-07 14:30:00",6750.12
"2023-01-07 14:45:00",6500.84
"2023-01-07 15:00:00",7000.55
"2023-01-07 15:15:00",7400.59
"2023-01-07 15:30:00",8000.82
"2023-01-07 15:45:00",8650.71
"2023-01-07 16:00:00",10000.48
"2023-01-07 16:15:00",10020.68
"2023-01-07 16:30:00",11982.22
"2023-01-07 16:45:00",11999.84
"2023-01-07 17:00:00",12000
"2023-01-07 17:15:00",12000
"2023-01-07 17:30:00",12000
"2023-01-07 17:45:00",12000
"2023-01-07 18:00:00",12000
"2023-01-07 18:15:00",12000
"2023-01-07 18:30:00",12000
"2023-01-07 18:45:00",12000
"2023-01-07 19:00:00",12000
"2023-01-07 19:15:00",12000
"2023-01-07 19:30:00",12000
"2023-01-07 19:45:00",12000
"2023-01-07 20:00:00",12000
"2023-01-07 20:15:00",12000
"2023-01-07 20:30:00",12000
"2023-01-07 20:45:00",7400.7
"2023-01-07 21:00:00",5571.47
"2023-01-07 21:15:00",5000.75
"2023-01-07 21:30:00",4850.58
"2023-01-07 21:45:00",4500.99
"2023-01-07 22:00:00",4100.81
"2023-01-07 22:15:00",4140
"2023-01-07 22:30:00",3761.88
"2023-01-07 22:45:00",4200.29
"2023-01-07 23:00:00",3639.76
"2023-01-07 23:15:00",3501.62
"2023-01-07 23:30:00",2999.99
"2023-01-07 23:45:00",3001.75
"2023-01-08 00:00:00",2939.01
"2023-01-08 00:15:00",2880.89
"2023-01-08 00:30:00",2486.14
"2023-01-08 00:45:00",1710.73
"2023-01-08 01:00:00",1670.64
"2023-01-08 01:15:00",1590.41
"2023-01-08 01:30:00",2650.6
"2023-01-08 01:45:00",2600.64
"2023-01-08 02:00:00",2768
"2023-01-08 02:15:00",2768.43
"2023-01-08 02:30:00",2768.68
"2023-01-08 02:45:00",2768.64
"2023-01-08 03:00:00",2768.48
"2023-01-08 03:15:00",2768.3
"2023-01-08 03:30:00",2768.57
"2023-01-08 03:45:00",3419.56
"2023-01-08 04:00:00",3040.94
"2023-01-08 04:15:00",3510.96
"2023-01-08 04:30:00",4000.96
"2023-01-08 04:45:00",4593.48
"2023-01-08 05:00:00",5500.06
"2023-01-08 05:15:00",6000.18
"2023-01-08 05:30:00",6459.23
"2023-01-08 05:45:00",7549.52
"2023-01-08 06:00:00",4945.73
"2023-01-08 06:15:00",5000.97
"2023-01-08 06:30:00",5000.5
"2023-01-08 06:45:00",5540.37
"2023-01-08 07:00:00",3574.71
"2023-01-08 07:15:00",3588.23
"2023-01-08 07:30:00",4500.43
"2023-01-08 07:45:00",5250.63
"2023-01-08 08:00:00",5800.55
"2023-01-08 08:15:00",6999.86
"2023-01-08 08:30:00",8000.19
"2023-01-08 08:45:00",8519.8
"2023-01-08 09:00:00",10000.44
"2023-01-08 09:15:00",10000.67
"2023-01-08 09:30:00",10000.1
"2023-01-08 09:45:00",9000.85
"2023-01-08 10:00:00",8500.25
"2023-01-08 10:15:00",8500.36
"2023-01-08 10:30:00",8000.18
"2023-01-08 10:45:00",8000.38
"2023-01-08 11:00:00",6000.51
"2023-01-08 11:15:00",5889.03
"2023-01-08 11:30:00",5026.8
"2023-01-08 11:45:00",5000.86
"2023-01-08 12:00:00",4915.8
"2023-01-08 12:15:00",5379.11
"2023-01-08 12:30:00",6000.58
"2023-01-08 12:45:00",5571.86
"2023-01-08 13:00:00",6120.49
"2023-01-08 13:15:00",6120.43
"2023-01-08 13:30:00",5571.3
"2023-01-08 13:45:00",5200.92
"2023-01-08 14:00:00",5240.89
"2023-01-08 14:15:00",5379.71
"2023-01-08 14:30:00",6000.26
"2023-01-08 14:45:00",6044.59
"2023-01-08 15:00:00",6044.43
"2023-01-08 15:15:00",6149.51
"2023-01-08 15:30:00",6120.1
"2023-01-08 15:45:00",8000.42
"2023-01-08 16:00:00",5529.42
"2023-01-08 16:15:00",5529.95
"2023-01-08 16:30:00",6149.69
"2023-01-08 16:45:00",6999.7
"2023-01-08 17:00:00",6989.56
"2023-01-08 17:15:00",6680.56
"2023-01-08 17:30:00",6131.59
"2023-01-08 17:45:00",6500.05
"2023-01-08 18:00:00",6999.37
"2023-01-08 18:15:00",7937.32
"2023-01-08 18:30:00",7000.21
"2023-01-08 18:45:00",6500.79
"2023-01-08 19:00:00",12000
